country,resort,hotel,price (£),distance_from_lift_(m),altitude (m),totalPiste (km),totalLifts,gondolas,chairlifts,draglifts,blues,reds,blacks,totalRuns,link,sleeps,decSnowLow2020(cm),decSnowHigh2020(cm),janSnowLow2020(cm),janSnowHigh2020(cm),febSnowLow2020(cm),febSnowHigh2020(cm),price ($),ratings,num_reviews,relative_score,value_metric,proportion_blues,proportion_reds,proportion_blacks
italy,bardonecchia,residence-tabor,550.0,,1312.0,140.0,23,0,9,14,17,24,1,42,https://www.igluski.com/ski-resorts/italy/bardonecchia/residence-tabor_38648?holidayId=58413613,,70.0,170.0,60.0,200.0,47.0,177.0,676.5,4.4,153,673.2,0.9951219512195123,0.40476190476190477,0.40476190476190477,0.023809523809523808
italy,bardonecchia,residence-villa-frejus,561.0,,1312.0,140.0,23,0,9,14,17,24,1,42,https://www.igluski.com/ski-resorts/italy/bardonecchia/residence-villa-frejus_38647?holidayId=58464837,,70.0,170.0,60.0,200.0,47.0,177.0,690.03,4.3,96,412.79999999999995,0.598234859353941,0.40476190476190477,0.40476190476190477,0.023809523809523808
bulgaria,bansko,hotel-mura,566.0,1100.0,935.0,70.0,24,1,7,16,5,8,1,14,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-mura_20914?holidayId=58542822,140,0.0,70.0,5.0,75.0,5.0,77.0,696.18,4.0,119,476.0,0.6837312189376311,0.35714285714285715,0.35714285714285715,0.07142857142857142
bulgaria,borovets,hotel-samokov,574.0,75.0,1390.0,58.0,18,1,4,13,1,13,1,15,https://www.igluski.com/ski-resorts/bulgaria/borovets/hotel-samokov_1092?holidayId=58456610,590,0.0,0.0,160.0,200.0,194.0,246.0,706.02,3.8,1791,6805.799999999999,9.639670264298461,0.06666666666666667,0.06666666666666667,0.06666666666666667
bulgaria,bansko,hotel-lion---bansko,596.0,800.0,935.0,70.0,24,1,7,16,5,8,1,14,https://www.igluski.com/ski-resorts/bulgaria/bansko/hotel-lion---bansko_20625?holidayId=58322886,386,0.0,70.0,5.0,75.0,5.0,77.0,733.08,4.2,553,2322.6,3.1682763136356193,0.35714285714285715,0.35714285714285715,0.07142857142857142
andorra,arinsal,hotel-xalet-besoli,597.0,500.0,1550.0,63.0,30,2,11,13,22,16,4,42,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-xalet-besoli_2446?holidayId=58503135,66,30.0,60.0,130.0,180.0,120.0,170.0,734.31,4.2,418,1755.6000000000001,2.390815867957675,0.5238095238095238,0.5238095238095238,0.09523809523809523
austria,mayrhofen,hotel-obermair,601.0,600.0,630.0,600.0,52,8,27,17,43,75,15,133,https://www.igluski.com/ski-resorts/austria/mayrhofen/hotel-obermair_1829?holidayId=58408829,60,0.0,60.0,5.0,80.0,2.0,99.0,739.23,4.4,205,902.0000000000001,1.2201885745978924,0.3233082706766917,0.3233082706766917,0.11278195488721804
bulgaria,borovets,hotel-lion-borovets,603.0,1200.0,1390.0,58.0,18,1,4,13,1,13,1,15,https://www.igluski.com/ski-resorts/bulgaria/borovets/hotel-lion-borovets_20502?holidayId=58429096,314,0.0,0.0,160.0,200.0,194.0,246.0,741.6899999999999,4.4,1791,7880.400000000001,10.62492415968936,0.06666666666666667,0.06666666666666667,0.06666666666666667
andorra,arinsal,hotel-xalet-verdu,606.0,300.0,1550.0,63.0,30,2,11,13,22,16,4,42,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-xalet-verdu_1602?holidayId=58515499,104,30.0,60.0,130.0,180.0,120.0,170.0,745.38,4.3,931,4003.2999999999997,5.370817569561834,0.5238095238095238,0.5238095238095238,0.09523809523809523
andorra,arinsal,hotel-patagonia,632.0,100.0,1550.0,63.0,30,2,11,13,22,16,4,42,https://www.igluski.com/ski-resorts/andorra/arinsal/hotel-patagonia_7184?holidayId=58452151,160,30.0,60.0,130.0,180.0,120.0,170.0,777.36,4.3,516,2218.7999999999997,2.8542760111145413,0.5238095238095238,0.5238095238095238,0.09523809523809523
